,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Port Alfred,8,ZA,1551415527,94,-33.59,26.89,66.99,5.99
1,Yellowknife,5,CA,1551415844,61,62.45,-114.38,-20.21,9.17
2,Minot,90,US,1551415740,77,48.23,-101.3,12.0,3.96
3,Mataura,0,NZ,1551415807,75,-46.19,168.86,57.99,17.0
4,Atuona,8,PF,1551415860,100,-9.8,-139.03,81.08,9.44
5,Moron,80,VE,1551415346,94,10.49,-68.2,67.99,3.06
6,Vaini,0,IN,1551412800,22,15.34,74.49,80.6,3.36
7,Flagstaff,1,US,1551415808,64,35.2,-111.65,48.0,17.22
8,Puerto Colombia,40,CO,1551415611,83,10.99,-74.96,78.01,5.82
9,Evensk,0,RU,1551415873,100,61.92,159.24,0.44,3.51
10,Mahebourg,40,MU,1551415740,79,-20.41,57.7,84.2,6.93
11,Carman,0,CA,1551415828,66,49.51,-98.0,10.4,6.93
12,Bien Hoa,40,VN,1551414600,46,10.95,106.82,89.6,3.36
13,Makat,88,KZ,1551415877,100,47.65,53.35,31.99,8.99
14,Great Yarmouth,88,GB,1551415805,93,52.61,1.73,45.0,6.93
15,Hilo,90,US,1551415700,68,19.71,-155.08,69.8,16.11
16,Curitibanos,56,BR,1551415881,95,-27.29,-50.58,55.48,1.72
17,Rikitea,92,PF,1551415485,100,-23.12,-134.97,76.54,9.1
18,Ushuaia,75,AR,1551412800,100,-54.81,-68.31,42.8,10.29
19,Jamestown,0,AU,1551415885,36,-33.21,138.6,92.33,5.19
20,Bluff,8,AU,1551415886,36,-23.58,149.07,86.98,12.35
21,Tasiilaq,92,GL,1551415873,93,65.61,-37.64,26.05,53.62
22,Artvin,20,TR,1551414600,86,41.18,41.83,37.4,13.87
23,Cape Town,75,ZA,1551415865,93,-33.93,18.42,66.2,8.05
24,Escarcega,0,MX,1551415890,47,18.61,-90.75,80.41,5.86
25,Taksimo,56,RU,1551415892,65,56.36,114.84,26.23,1.95
26,Mazyr,88,BY,1551415893,83,52.05,29.27,32.48,21.85
27,Saquarema,75,BR,1551412800,94,-22.93,-42.51,78.8,1.12
28,Carnarvon,0,ZA,1551415787,55,-30.97,22.13,58.63,2.95
29,Salalah,40,OM,1551412200,73,17.01,54.1,77.0,3.36
30,Port Lincoln,0,AU,1551415898,50,-34.72,135.86,90.26,11.01
31,Bethel,40,US,1551412560,80,60.79,-161.76,37.4,12.75
32,Cidreira,0,BR,1551415901,97,-30.17,-50.22,63.31,5.86
33,Provideniya,90,RU,1551414600,86,64.42,-173.23,33.8,40.26
34,Karratha,24,AU,1551415903,26,-20.74,116.85,101.2,14.7
35,Tuatapere,8,NZ,1551415807,75,-46.13,167.69,57.99,17.0
36,Arraial do Cabo,80,BR,1551415905,100,-22.97,-42.02,74.51,1.61
37,Fare,100,PF,1551415907,98,-16.7,-151.02,83.38,11.9
38,Lumby,90,CA,1551415780,100,50.25,-118.97,26.01,2.24
39,Saint-Philippe,1,CA,1551415803,71,45.36,-73.48,8.6,3.36
40,Lagoa,0,PT,1551415629,71,37.14,-8.45,53.6,3.36
41,Dikson,0,RU,1551415841,74,73.51,80.55,-0.19,16.26
42,Caravelas,92,BR,1551415837,100,-17.73,-39.27,82.84,19.17
43,Inhambane,40,MZ,1551412800,83,-23.87,35.38,80.6,6.2
44,Bredasdorp,100,ZA,1551415504,88,-34.53,20.04,66.2,4.7
45,Noumea,90,NC,1551414600,88,-22.28,166.46,77.0,20.8
46,Pangnirtung,8,CA,1551415906,59,66.15,-65.72,-13.02,5.3
47,Albany,75,US,1551415807,72,42.65,-73.75,18.0,2.28
48,Koltsovo,40,RU,1551414600,85,54.94,83.19,19.4,4.47
49,San Quintin,8,PH,1551415321,52,17.54,120.52,84.55,5.64
50,Poum,8,MK,1551415922,69,41.28,20.71,18.76,2.39
51,Machilipatnam,40,IN,1551414600,52,16.18,81.14,89.6,3.36
52,Ponta do Sol,64,BR,1551415874,94,-20.63,-46.0,65.56,2.28
53,Sinegorye,44,RU,1551415928,69,62.09,150.53,-4.06,2.51
54,Georgetown,0,GY,1551412800,94,6.8,-58.16,69.8,4.7
55,Puerto Ayora,0,EC,1551415886,100,-0.74,-90.35,80.86,2.73
56,Petropavlovsk-Kamchatskiy,36,RU,1551414600,42,53.05,158.65,26.6,15.66
57,Gopalpur,0,IN,1551415933,96,25.6,86.94,67.49,8.32
58,Alihe,0,CN,1551415934,46,50.57,123.73,34.87,5.19
59,Kaitangata,0,NZ,1551415867,65,-46.28,169.85,59.8,20.07
60,Berlevag,75,NO,1551412200,57,70.86,29.09,23.0,16.11
61,Songkhla,40,TH,1551414600,55,7.2,100.6,91.4,10.29
62,Port Elizabeth,20,US,1551415850,66,39.31,-74.98,36.0,4.7
63,Angoche,92,MZ,1551415940,100,-16.23,39.91,76.31,6.98
64,Illapel,64,CL,1551415941,99,-31.63,-71.17,57.01,2.62
65,Grants,1,US,1551414900,48,35.15,-107.85,42.8,5.82
66,Grand Gaube,40,MU,1551415140,79,-20.01,57.66,84.2,6.93
67,Hobart,12,AU,1551415639,54,-42.88,147.33,84.99,1.01
68,Lichtenburg,0,ZA,1551415946,53,-26.15,26.16,70.19,3.06
69,Lubana,0,CD,1551415947,92,0.23,29.1,65.69,2.06
70,Kichmengskiy Gorodok,88,RU,1551415948,80,59.99,45.81,18.58,4.97
71,Punta Arenas,75,CL,1551415391,87,-53.16,-70.91,50.0,4.29
72,Jinchang,88,CN,1551415950,96,38.52,102.19,30.23,4.18
73,Ahipara,24,NZ,1551412162,71,-35.17,173.16,75.99,9.1
74,Half Moon Bay,75,US,1551415863,66,37.46,-122.43,52.0,5.82
75,Itanhandu,76,BR,1551414820,95,-22.3,-44.93,66.0,2.39
76,Katy,32,US,1551415868,100,29.79,-95.82,46.99,11.41
77,Vila,76,IT,1551415945,100,45.18,8.4,48.99,2.24
78,Shimoda,75,JP,1551415811,66,34.7,138.93,55.4,16.11
79,Barrow,36,AR,1551415962,64,-38.31,-60.23,59.44,13.47
80,Paris,92,FR,1551415703,87,48.86,2.35,48.99,11.41
81,Belur,0,IN,1551415965,19,13.16,75.86,89.86,2.62
82,Yaan,92,NG,1551415966,94,7.38,8.57,72.08,4.97
83,Butaritari,92,KI,1551415967,100,3.07,172.79,81.98,19.51
84,Invermere,76,CA,1551415846,91,50.51,-116.03,19.0,1.72
85,Klaksvik,88,FO,1551414000,86,62.23,-6.59,39.2,9.17
86,Manta,0,RO,1551415817,70,45.1,24.1,34.0,5.97
87,Te Anau,0,NZ,1551415972,43,-45.41,167.72,62.99,3.96
88,Yar-Sale,64,RU,1551415957,84,66.83,70.83,6.88,12.57
89,Dingle,0,PH,1551415974,42,11.0,122.67,90.71,14.25
90,Adzhamka,68,UA,1551415975,87,48.55,32.53,34.69,18.39
91,Tuktoyaktuk,20,CA,1551412800,70,69.44,-133.03,-4.01,14.99
92,Ribeira Grande,88,PT,1551415717,93,38.52,-28.7,61.87,15.37
93,Hasaki,75,JP,1551415775,53,35.73,140.83,55.0,6.93
94,Ulladulla,20,AU,1551415619,48,-35.36,150.48,82.4,17.22
95,Rawson,92,AR,1551415931,82,-43.3,-65.11,58.9,3.62
96,Canberra,40,AU,1551415933,25,-35.3,149.1,87.01,10.29
97,Tiksi,64,RU,1551415987,58,71.64,128.87,1.88,12.12
98,Kapaa,75,US,1551415698,49,22.08,-159.32,71.6,12.75
99,Port Hardy,5,CA,1551412800,74,50.7,-127.42,33.8,9.17
100,Norman Wells,20,CA,1551412800,69,65.28,-126.83,-7.61,5.82
101,Busselton,0,AU,1551415809,23,-33.64,115.35,73.99,15.82
102,Plettenberg Bay,48,ZA,1551415992,93,-34.05,23.37,68.03,8.1
103,Sao Joao da Barra,32,BR,1551415832,100,-21.64,-41.05,79.91,11.12
104,Kawalu,88,ID,1551415998,94,-7.38,108.21,73.57,1.72
105,Puri,20,ID,1551414600,74,-7.54,112.45,87.8,8.05
106,Surt,0,LY,1551416000,100,31.21,16.59,45.85,3.96
107,Kavieng,32,PG,1551416004,100,-2.57,150.8,83.56,2.28
108,Sao Filipe,0,CV,1551415849,92,14.9,-24.5,70.69,19.39
109,Nikolskoye,75,RU,1551415834,73,59.7,30.79,21.99,6.71
110,Dhandhuka,0,IN,1551416017,43,22.38,71.98,77.17,8.43
111,Nanortalik,56,GL,1551416018,91,60.14,-45.24,32.89,28.57
112,College,1,US,1551415814,92,64.86,-147.8,18.0,2.73
113,Buala,32,SB,1551416020,91,-8.15,159.59,83.69,3.18
114,Havoysund,90,NO,1551414000,79,71.0,24.66,24.8,18.34
115,Moose Factory,90,CA,1551413940,85,51.26,-80.61,14.0,8.05
116,Kanke,0,IN,1551414600,45,23.41,85.32,66.2,2.24
117,Hermanus,88,ZA,1551415593,97,-34.42,19.24,64.0,2.95
118,Port Blair,20,IN,1551412800,66,11.67,92.75,86.0,12.75
119,Tinos,0,GR,1551415547,66,37.54,25.16,52.0,9.17
120,Kavaratti,0,IN,1551416028,100,10.57,72.64,82.48,12.01
121,Harper,90,US,1551415951,87,30.3,-99.24,48.99,6.87
122,Coracora,80,PE,1551416031,98,-15.02,-73.78,43.28,1.16
123,Bartica,0,GY,1551412800,94,6.41,-58.62,69.8,4.7
124,Vostok,56,RU,1551415911,48,46.45,135.83,28.66,5.64
125,Belen,0,TR,1551415926,31,36.49,36.19,48.2,17.22
126,Palana,64,RU,1551416036,57,59.08,159.95,4.94,4.41
127,Penhold,75,CA,1551412800,66,52.13,-113.87,14.0,13.87
128,Marzuq,0,YE,1551416038,34,14.4,46.47,74.38,3.62
129,Severodvinsk,90,RU,1551414600,92,64.56,39.82,15.8,6.71
130,Shubarkuduk,80,KZ,1551416040,93,49.15,56.49,29.47,13.91
131,North Bend,90,US,1551416016,87,43.41,-124.22,42.8,8.05
132,Ankazobe,40,MG,1551414600,82,-18.32,47.12,66.2,5.82
133,Jefferson City,75,US,1551416031,73,38.58,-92.17,28.0,2.62
134,Victoria,75,BN,1551414600,66,5.28,115.24,87.8,5.82
135,Nouadhibou,0,MR,1551415893,63,20.93,-17.03,63.31,13.91
136,Faanui,64,PF,1551416048,100,-16.48,-151.75,83.29,12.24
137,Kokopo,80,PG,1551416049,100,-4.34,152.27,81.85,5.41
138,Eskisehir,0,TR,1551412200,92,39.78,30.52,21.2,3.36
139,Les Cayes,56,HT,1551416051,99,18.19,-73.75,77.93,12.24
140,Usta Muhammad,8,PK,1551416053,81,28.18,68.05,66.19,5.3
141,Mar del Plata,92,AR,1551416054,86,-46.43,-67.52,57.19,6.2
142,Bat Yam,75,IL,1551415931,81,32.02,34.75,53.6,2.24
143,Mwinilunga,68,ZM,1551415947,97,-11.73,24.43,65.56,3.29
144,Pembroke,1,CA,1551412800,70,45.82,-77.11,-0.41,2.62
145,Elizabeth City,1,US,1551415856,75,36.3,-76.22,44.01,9.33
146,Castro,90,CL,1551412800,100,-42.48,-73.76,51.8,11.41
147,Awbari,12,LY,1551416061,42,26.59,12.77,54.04,17.49
148,Puerto del Rosario,64,ES,1551414600,77,28.5,-13.86,60.8,8.05
149,Pevek,88,RU,1551416055,85,69.7,170.27,2.47,21.07
150,Chapais,90,CA,1551412920,84,49.78,-74.86,3.2,2.24
151,Samarai,12,PG,1551415908,100,-10.62,150.67,82.61,9.22
152,Okakarara,32,NA,1551416066,87,-20.59,17.46,62.95,6.98
153,Ghansor,0,IN,1551412800,48,22.66,79.95,62.6,6.93
154,Qaanaaq,0,GL,1551416069,85,77.48,-69.36,-14.64,8.21
155,Nyurba,36,RU,1551416070,71,63.29,118.35,20.47,3.74
156,Veraval,88,FR,1551416020,100,49.65,0.71,48.99,13.87
157,Rome,0,IT,1551415987,81,41.89,12.48,51.8,6.93
158,Lebu,8,ET,1551416074,40,8.96,38.73,63.13,3.74
159,Barranca,36,PE,1551416075,100,-10.75,-77.76,72.31,8.77
160,Zabaykalsk,0,CN,1551416076,26,49.64,117.33,42.43,10.45
161,Iqaluit,75,CA,1551415367,76,63.75,-68.52,-4.01,17.22
162,Clyde River,1,CA,1551412800,76,70.47,-68.59,-4.01,36.91
163,Chokurdakh,0,RU,1551416079,27,70.62,147.9,-18.6,2.95
164,Tautira,40,PF,1551415994,66,-17.73,-149.15,86.0,3.36
165,Medicine Hat,90,CA,1551412800,78,50.04,-110.68,14.0,4.7
166,Alexandria,90,US,1551415751,100,31.31,-92.44,55.99,3.36
167,Alofi,12,NU,1551412800,74,-19.06,-169.92,84.2,11.41
168,Kruisfontein,56,ZA,1551416085,84,-34.0,24.73,68.39,7.76
169,Viedma,80,AR,1551416087,41,-40.81,-62.99,68.39,13.91
170,Santa Fe,0,AR,1551415812,70,-31.62,-60.7,73.0,4.0
171,Airai,80,TL,1551416089,95,-8.93,125.41,73.88,0.49
172,Jersey City,90,US,1551416082,50,40.73,-74.08,32.0,8.05
173,Kargasok,12,RU,1551416092,71,59.06,80.87,12.82,5.75
174,Great Falls,40,US,1551415140,100,47.5,-111.29,15.8,4.7
175,East London,40,ZA,1551412800,72,-33.02,27.91,68.0,4.7
176,Narsaq,0,GL,1551412200,44,60.91,-46.05,39.2,26.4
177,Tomatlan,48,MX,1551416096,97,19.93,-105.25,67.09,0.83
178,Henties Bay,0,NA,1551412928,85,-22.12,14.28,64.99,5.99
179,Thompson,40,CA,1551412800,69,55.74,-97.86,-7.61,8.05
180,Esperance,20,TT,1551415808,83,10.24,-61.45,75.2,7.43
181,Meulaboh,64,ID,1551415837,100,4.14,96.13,81.04,4.63
182,Kulhudhuffushi,0,MV,1551416102,100,6.62,73.07,82.12,9.89
183,Kieta,56,PG,1551416104,100,-6.22,155.63,78.56,3.29
184,Shenjiamen,92,CN,1551416105,93,29.96,122.3,50.71,12.01
185,Pearl Lagoon,88,NI,1551416106,92,12.34,-83.67,80.05,13.8
186,Khatanga,24,RU,1551415850,58,71.98,102.47,-12.52,6.42
187,Saskylakh,0,RU,1551415898,28,71.97,114.09,-19.72,3.06
188,Vila Velha,75,BR,1551415687,83,-3.71,-38.6,81.0,3.36
189,Yuanping,24,CN,1551416111,61,38.72,112.71,44.95,3.4
190,Kirakira,12,SB,1551415901,100,-10.46,161.92,83.56,3.62
191,Celestun,0,MX,1551416113,89,20.87,-90.4,80.23,19.06
192,Shahr-e Kord,40,IR,1551412800,92,32.33,50.85,28.4,6.93
193,Winnemucca,1,US,1551415599,55,40.97,-117.74,35.6,8.05
194,Hanzhong,92,CN,1551416117,100,33.08,107.03,40.0,3.74
195,Bubaque,0,GW,1551416118,99,11.28,-15.83,74.65,24.99
196,Jumla,0,NP,1551416119,55,29.28,82.18,33.34,1.95
197,Katsuura,20,JP,1551415339,44,33.93,134.5,57.2,14.99
198,San Martin,90,EC,1551415507,93,-0.3,-78.52,59.0,6.93
199,Conceicao das Alagoas,76,BR,1551416123,94,-19.91,-48.39,70.28,2.95
200,Nassau,90,DE,1551416043,100,51.17,13.51,46.99,2.24
201,Dunedin,0,NZ,1551415597,75,-45.87,170.5,61.0,13.0
202,Leh,20,IN,1551416129,68,34.16,77.58,-9.01,1.72
203,Vancouver,90,US,1551416047,69,45.63,-122.67,39.2,3.36
204,Hazorasp,0,UZ,1551412800,86,41.32,61.08,41.0,6.93
205,Teya,5,MX,1551415510,54,21.05,-89.07,80.6,16.11
206,Touros,20,BR,1551412800,88,-5.2,-35.46,78.8,3.36
207,Geraldton,20,CA,1551412800,84,49.72,-86.95,5.0,5.82
208,Nikolsk,80,RU,1551416136,87,59.53,45.45,18.94,3.74
209,Saldanha,0,PT,1551415852,76,41.42,-6.55,28.93,2.62
210,Saint George,0,GR,1551416005,74,39.45,22.34,41.0,4.18
211,Prince Rupert,1,CA,1551412800,100,54.32,-130.32,32.0,4.7
212,Olonets,64,RU,1551416141,65,60.98,32.97,21.1,8.21
213,Longyearbyen,20,NO,1551412200,76,78.22,15.63,-4.01,10.29
214,Uray,76,RU,1551415911,81,60.13,64.8,21.01,8.66
215,Port Hedland,0,AU,1551414600,63,-20.31,118.58,91.4,17.22
216,Srednekolymsk,32,RU,1551416145,65,67.46,153.71,-8.74,2.62
217,Chernyshevskiy,64,RU,1551415928,74,63.01,112.47,17.81,5.19
218,Faya,0,SA,1551412800,76,18.39,42.45,59.0,13.87
219,Upernavik,24,GL,1551416135,100,72.79,-56.15,0.26,10.45
220,Chuy,0,UY,1551415867,87,-33.69,-53.46,65.02,3.96
221,Ondjiva,76,AO,1551416151,90,-17.07,15.73,66.46,3.85
222,Laufen,75,CH,1551416136,87,47.42,7.5,50.0,14.99
223,Shaoguan,92,CN,1551416153,100,24.81,113.59,60.74,2.95
224,Conde,92,BR,1551415963,92,-11.81,-37.61,79.69,7.76
225,Samoded,24,RU,1551416156,81,63.61,40.52,15.97,5.64
226,Isangel,76,VU,1551416157,100,-19.55,169.27,80.99,21.3
227,Khandyga,0,RU,1551416158,47,62.65,135.58,-8.34,3.29
228,Severo-Kurilsk,24,RU,1551416159,100,50.68,156.12,27.31,2.51
229,Torbay,75,CA,1551415657,72,47.66,-52.73,19.0,39.15
230,Nakamura,20,JP,1551416047,58,35.17,136.87,63.0,23.04
231,Namatanai,48,PG,1551416163,100,-3.66,152.44,81.44,7.2
232,New Norfolk,0,AU,1551416116,54,-42.78,147.06,84.99,1.01
233,Hokitika,0,NZ,1551415884,89,-42.72,170.96,60.52,6.98
234,Cayenne,80,GF,1551414600,78,4.94,-52.33,77.0,6.93
235,Doka,0,SD,1551416168,30,13.52,35.76,76.72,13.02
236,Balikpapan,40,ID,1551414600,62,-1.24,116.86,87.8,11.41
237,Avarua,92,CK,1551414600,83,-21.21,-159.78,82.4,9.17
238,Ome,75,JP,1551416126,66,35.8,139.24,59.0,1.12
239,Dodge City,90,US,1551416134,63,37.75,-100.02,30.0,12.75
240,Umarizal,88,BR,1551416173,94,-5.99,-37.82,71.05,2.17
241,Mmathubudukwane,0,BW,1551412800,29,-24.61,26.43,66.2,6.93
242,Port-Gentil,76,GA,1551415973,100,-0.72,8.78,78.43,4.74
243,Vagur,92,FO,1551416177,98,61.47,-6.81,44.95,19.39
244,Maniitsoq,0,GL,1551415917,69,65.42,-52.9,31.0,13.69
245,Hegang,0,CN,1551416179,34,47.34,130.28,35.05,8.77
246,Muros,90,ES,1551415952,100,42.77,-9.06,51.01,1.12
247,Puerto Asis,24,CO,1551416182,94,0.51,-76.5,72.13,1.95
248,Vilhena,92,BR,1551416183,97,-12.74,-60.15,68.84,1.72
249,Thiruvananthapuram,20,IN,1551414600,62,8.48,76.92,87.8,9.17
250,Jiaocheng,8,CN,1551416185,72,24.68,116.14,74.06,2.95
251,Boa Vista,0,BR,1551412800,57,2.82,-60.67,80.6,13.87
252,Schattdorf,75,CH,1551416145,53,46.86,8.65,51.8,9.17
253,Charlestown,1,US,1551416185,73,41.38,-71.64,27.0,8.66
254,Cherskiy,36,RU,1551416125,65,68.75,161.3,-8.92,7.99
255,Nador,0,MA,1551414600,34,35.17,-2.93,50.0,1.12
256,Kloulklubed,75,PW,1551415800,62,7.04,134.26,86.0,9.17
257,Shelburne,1,CA,1551416161,92,44.08,-80.2,19.4,5.82
258,Shaunavon,68,CA,1551416195,80,49.65,-108.41,7.96,8.99
259,Tonantins,80,BR,1551416197,95,-2.86,-67.77,74.65,3.18
260,Pacocha,75,EC,1551412800,83,-1.05,-80.87,82.4,5.82
261,Bambous Virieux,40,MU,1551416041,79,-20.34,57.76,84.2,6.93
262,Los Llanos de Aridane,90,ES,1551414600,72,28.66,-17.92,62.6,8.05
263,Port Macquarie,40,AU,1551416045,51,-31.43,152.91,82.0,14.99
264,Puerto Maldonado,56,PE,1551416203,97,-12.59,-69.19,70.46,2.06
265,Acapulco,5,MX,1551411720,83,16.86,-99.88,78.8,4.7
266,Kolokani,0,ML,1551416205,34,13.58,-8.03,48.37,11.34
267,Jalu,0,LY,1551416117,79,29.03,21.55,41.26,3.06
268,Kodiak,1,US,1551415703,37,39.95,-94.76,23.0,4.7
269,Ngunguru,0,NZ,1551415085,70,-35.62,174.5,68.0,8.99
270,Biltine,0,TD,1551416210,26,14.53,20.93,73.84,18.05
271,Komsomolskiy,64,RU,1551415917,87,67.55,63.78,1.12,13.8
272,Gizo,75,IL,1551415931,81,31.8,34.94,53.6,2.24
273,Christchurch,0,NZ,1551416117,37,-43.53,172.64,69.8,8.05
274,Santa Vitoria do Palmar,0,BR,1551416215,87,-33.52,-53.37,65.02,3.96
275,Bathsheba,40,BB,1551412800,73,13.22,-59.52,77.0,19.46
