,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
276,Zapolyarnyy,75,RU,1551414000,85,69.43,30.82,21.2,14.99
277,Arkhangelskoye,92,RU,1551416218,96,54.46,37.62,31.04,6.87
278,Svetlogorsk,90,RU,1551414600,92,53.14,59.15,21.2,15.66
279,Kautokeino,80,NO,1551416221,70,69.01,23.04,16.91,6.42
280,Kovdor,88,RU,1551416222,79,67.56,30.47,23.62,6.64
281,Yumen,20,CN,1551416148,58,40.29,97.04,40.27,7.65
282,Dingzhou,0,CN,1551412800,46,38.51,115.0,50.0,4.47
283,Perth,90,GB,1551415928,100,56.4,-3.43,44.01,4.7
284,Bridlington,88,GB,1551415984,87,54.08,-0.19,44.6,4.7
285,Araouane,0,ML,1551416228,49,18.9,-3.53,45.44,9.78
286,Bud,88,NO,1551415609,100,62.91,6.91,33.8,5.82
287,Ostrovnoy,76,RU,1551416233,87,68.05,39.51,21.14,12.8
288,Fortuna,0,ES,1551416156,70,38.18,-1.13,51.01,3.36
289,Abha,0,SA,1551412800,76,18.22,42.5,59.0,13.87
290,Cabo San Lucas,5,MX,1551415827,43,22.89,-109.91,71.01,4.7
291,Yichun,0,CN,1551416238,38,47.72,128.88,32.21,5.41
292,Mount Gambier,0,AU,1551414780,11,-37.83,140.78,104.0,17.22
293,Deputatskiy,0,RU,1551416212,65,69.3,139.9,-15.81,3.06
294,Igarka,68,RU,1551416128,78,67.47,86.57,4.13,16.71
295,Bow Island,90,CA,1551412800,78,49.87,-111.38,14.0,4.7
296,Manokwari,8,ID,1551416244,98,-0.87,134.08,81.67,6.76
297,Aykhal,36,RU,1551416245,69,65.95,111.51,11.92,3.96
298,Ust-Tsilma,80,RU,1551416194,77,65.44,52.15,10.34,4.52
299,Aswan,0,EG,1551412800,46,24.09,32.9,50.0,13.87
300,Nacogdoches,90,US,1551416147,93,31.6,-94.66,45.0,9.17
301,Capalayan,68,PH,1551416250,91,9.74,125.54,79.64,12.01
302,Sorland,75,NO,1551414000,74,67.67,12.69,33.8,11.41
303,Ayan,0,TR,1551416252,72,40.67,33.6,27.04,5.53
304,Mayo,5,CA,1551412800,83,63.59,-135.9,-4.01,2.62
305,Talnakh,64,RU,1551415827,72,69.49,88.39,5.48,19.28
306,Stuttgart,40,DE,1551415993,87,48.78,9.18,48.99,9.17
307,Chipinge,0,ZW,1551416257,65,-20.19,32.62,78.74,3.96
308,Plavsk,88,RU,1551416258,98,53.71,37.29,31.31,6.98
309,Gizycko,80,PL,1551416259,79,54.04,21.76,29.83,13.24
310,Severo-Yeniseyskiy,56,RU,1551416260,62,60.37,93.04,23.17,3.4
311,Ostersund,0,SE,1551415896,85,63.18,14.64,23.0,6.93
312,Yima,80,CN,1551416262,77,34.75,111.87,44.54,9.1
313,Sibolga,64,ID,1551416156,99,1.74,98.78,76.13,2.06
314,Antalaha,92,MG,1551416265,98,-14.9,50.28,78.61,3.96
315,Caibarien,0,CU,1551412200,82,22.52,-79.47,64.4,1.12
316,Ziro,40,IN,1551414600,68,27.54,93.82,69.8,2.24
317,Lorengau,8,PG,1551415841,97,-2.02,147.27,84.1,7.87
318,Izvestkovyy,68,RU,1551416270,48,48.98,131.55,25.91,8.55
319,Guerrero Negro,0,MX,1551415987,97,27.97,-114.04,55.75,7.43
320,Margate,0,AU,1551416056,54,-43.03,147.26,84.99,2.39
321,Hithadhoo,8,MV,1551416163,100,-0.6,73.08,82.79,12.35
322,Hovd,75,NO,1551416130,80,63.83,10.7,37.4,17.22
323,Omboue,64,GA,1551416275,100,-1.57,9.26,78.7,9.66
324,Baruun-Urt,0,MN,1551416277,32,46.68,113.28,41.71,18.72
325,Tateyama,40,JP,1551416153,43,36.66,137.31,55.4,8.05
326,Fort Nelson,40,CA,1551412800,65,58.81,-122.69,3.2,11.41
327,Gat,0,SN,1551414600,9,14.69,-16.54,73.4,16.11
328,Sitka,76,US,1551415881,66,37.17,-99.65,27.13,8.43
329,Muyezerskiy,0,RU,1551416282,80,63.93,31.65,13.09,7.43
330,Shakiso,0,ET,1551416283,29,5.77,38.9,71.68,3.06
331,Ancud,90,CL,1551412800,100,-41.87,-73.83,51.8,11.41
332,Mecca,8,SA,1551416286,43,21.43,39.83,65.65,9.1
333,Ambon,40,FR,1551416234,87,47.55,-2.56,51.01,11.41
334,Sistranda,75,NO,1551416136,69,63.73,8.83,37.4,11.41
335,Cururupu,88,BR,1551416242,100,-1.82,-44.87,73.79,4.41
336,Tyazhinskiy,88,RU,1551416290,84,56.11,88.52,28.12,3.96
337,Manchester,90,GB,1551416106,93,53.48,-2.24,46.4,4.7
338,Portland,90,US,1551415728,69,45.52,-122.67,39.2,9.17
339,Kupang,20,ID,1551414600,66,-10.16,123.6,89.6,9.17
340,Feldkirchen-Westerham,90,DE,1551416225,81,47.9,11.84,46.0,18.34
341,Bandarbeyla,88,SO,1551416297,100,9.49,50.81,74.92,3.4
342,Seoul,1,KR,1551414600,23,37.57,126.98,55.4,6.93
343,Pangkalanbuun,64,ID,1551416268,89,-2.68,111.62,85.9,4.18
344,Kidal,0,ML,1551416300,50,18.44,1.41,48.19,12.8
345,Le Vauclin,40,MQ,1551416132,73,14.55,-60.84,77.0,11.41
346,Hit,0,IQ,1551416261,69,33.64,42.83,44.59,19.51
347,Taltal,0,CL,1551416121,96,-25.41,-70.49,53.95,2.39
348,Puerto Escondido,5,MX,1551411900,69,15.86,-97.07,80.6,5.64
349,Mount Isa,20,AU,1551416153,30,-20.73,139.49,94.0,12.8
350,Adeje,88,NG,1551416307,95,5.68,5.76,70.96,3.96
351,Tarnalelesz,0,HU,1551416225,28,48.06,20.18,46.99,5.99
352,Kwinana,40,AU,1551416066,43,-32.25,115.77,75.2,17.22
353,Kilimatinde,36,TZ,1551416311,75,-5.75,34.82,73.3,4.41
354,Marsabit,0,KE,1551416312,59,2.34,37.99,80.81,3.62
355,Sovetskaya,92,RU,1551416313,84,44.78,41.17,37.75,21.52
356,Freetown,0,BS,1551416314,100,26.61,-78.36,72.49,4.41
357,Marsh Harbour,0,BS,1551416315,100,26.54,-77.06,73.3,4.85
358,Gualaquiza,88,EC,1551416317,100,-3.4,-78.58,62.18,2.28
359,Debre Birhan,8,ET,1551416318,41,9.68,39.53,63.58,0.38
360,Quatre Cocos,40,MU,1551416041,79,-20.21,57.76,84.2,6.93
361,Okha,12,RU,1551416320,85,53.59,142.95,16.64,10.0
362,Ixtapa,5,MX,1551416109,78,20.71,-105.21,71.6,1.16
363,Kivertsi,90,UA,1551414600,69,50.83,25.46,34.0,20.13
364,Colesberg,0,ZA,1551416324,60,-30.72,25.1,63.67,3.96
365,Nokaneng,0,BW,1551416325,46,-19.66,22.19,78.83,4.07
366,Hofn,92,IS,1551416188,100,64.25,-15.21,39.64,9.33
367,Hami,0,CN,1551416327,50,42.84,93.51,48.41,5.64
368,Berezovka,80,RU,1551416328,88,57.6,57.31,26.54,13.02
369,Adrar,0,DZ,1551412800,30,27.87,-0.29,42.8,10.29
370,Taree,40,AU,1551415504,51,-31.91,152.46,80.6,14.99
371,Whitehorse,40,CA,1551416315,72,60.72,-135.06,21.0,5.82
372,Kralendijk,12,BQ,1551412500,78,12.15,-68.27,78.8,18.34
373,Trelew,92,AR,1551416335,82,-43.25,-65.31,58.9,3.62
374,Northam,92,GB,1551416310,100,51.04,-4.21,48.99,2.24
375,Saint-Pierre,92,FR,1551416225,87,48.95,4.24,48.2,25.28
376,Le Port,0,FR,1551416317,39,42.87,1.37,46.99,2.17
377,Sawtell,75,AU,1551416305,65,-30.38,153.1,82.4,10.29
378,Bayan,12,MN,1551416341,35,47.25,107.54,35.14,7.76
379,Paranhos,0,PY,1551416342,75,-23.89,-55.43,60.07,4.74
380,Lithakia,40,GR,1551415800,86,37.72,20.83,46.99,3.36
381,Pasighat,64,IN,1551416345,76,28.06,95.33,55.61,1.95
382,Byron Bay,40,AU,1551416124,57,-28.65,153.62,86.0,14.99
383,Waingapu,20,ID,1551416328,99,-9.65,120.26,82.39,2.39
384,Naze,40,NG,1551412800,100,5.43,7.07,73.4,2.62
385,Srandakan,68,ID,1551416349,91,-7.94,110.25,83.02,4.29
386,Oranjemund,12,ZA,1551416164,91,-28.55,16.43,62.86,22.19
387,Ponta Delgada,75,PT,1551416234,93,37.73,-25.67,60.8,14.99
388,Comodoro Rivadavia,0,AR,1551412800,37,-45.87,-67.48,66.2,14.99
389,Goderich,64,CA,1551416306,83,43.74,-81.71,16.0,3.0
390,Kenai,1,US,1551416224,67,60.55,-151.26,24.01,5.82
391,Praia,75,BR,1551412800,78,-20.25,-43.81,71.6,4.7
392,Kokomo,1,US,1551416350,79,40.49,-86.13,30.99,6.93
393,Morgan City,90,US,1551416304,100,29.7,-91.21,66.0,3.62
394,Vaitape,48,PF,1551416110,99,-16.52,-151.75,83.24,12.12
395,Makubetsu,20,JP,1551412800,51,42.84,143.34,37.4,6.93
396,Wajima,75,JP,1551412800,87,37.4,136.9,44.6,6.93
397,Lakes Entrance,8,AU,1551415509,18,-37.88,147.99,97.0,11.99
398,Ukiah,1,US,1551416315,75,39.15,-123.21,46.99,3.36
399,Miri,80,NG,1551416366,71,10.31,9.75,68.89,2.39
400,Ghanzi,20,BW,1551416367,81,-21.7,21.65,67.81,3.18
401,Timra,0,SE,1551416184,68,62.49,17.33,26.01,1.72
402,Zonguldak,8,TR,1551416369,76,41.25,31.83,43.96,14.7
403,Thinadhoo,0,MV,1551416371,100,0.53,72.93,82.43,12.35
404,Valer,0,ES,1551416372,67,41.76,-6.18,27.67,2.95
405,Kokuy,32,RU,1551416373,44,52.2,117.55,37.93,3.62
406,Mmabatho,0,ZA,1551412800,51,-25.85,25.61,59.0,5.82
407,Avera,75,US,1551416233,96,33.19,-82.53,60.8,4.7
408,Wanning,75,AT,1551416329,75,48.64,13.53,48.0,10.29
409,Yulara,0,AU,1551412800,10,-25.24,130.99,102.2,5.82
410,Aklavik,5,CA,1551412800,50,68.22,-135.01,6.8,8.05
411,Bibiani,12,GH,1551416380,92,6.45,-2.31,68.71,2.84
412,Constitucion,0,MX,1551416285,51,23.99,-104.67,53.95,7.09
413,Pangoa,88,PE,1551416382,97,-12.12,-73.0,66.14,1.61
414,Iracoubo,100,GF,1551416384,90,5.48,-53.21,74.02,4.74
415,Warrensburg,90,US,1551416112,63,38.76,-93.74,27.0,3.36
416,Moranbah,8,AU,1551416386,38,-22.0,148.04,85.81,16.71
417,Nome,90,US,1551416324,93,30.04,-94.42,51.8,10.29
418,Kaniama,76,CD,1551416388,96,-7.57,24.18,68.26,3.29
419,Lagunas,24,PE,1551416389,96,-5.23,-75.68,74.69,2.17
420,Pelym,76,RU,1551416391,75,61.01,62.0,22.58,5.97
421,Nerchinskiy Zavod,12,RU,1551416260,44,51.31,119.61,35.77,3.62
422,Aksu,75,KZ,1551414600,91,52.04,76.93,3.2,4.47
423,Nara,75,JP,1551416344,47,34.68,135.8,57.2,5.82
424,Andapa,92,MG,1551416395,97,-14.66,49.65,70.15,2.73
425,Mega,0,ET,1551416397,21,4.06,38.32,76.13,4.41
426,Bogandinskiy,0,RU,1551414600,78,56.89,65.89,14.0,13.42
427,Emerald,90,AU,1551416005,29,-23.53,148.16,89.6,11.41
428,Semey,40,KZ,1551414600,92,50.41,80.25,23.0,4.47
429,Saint-Joseph,75,FR,1551416281,93,43.56,6.97,53.6,4.7
430,Grindavik,90,IS,1551416054,93,63.84,-22.43,46.0,27.51
431,Laredo,90,US,1551414900,93,27.51,-99.51,64.4,13.87
432,Buchanan,0,LR,1551416331,99,5.88,-10.05,79.06,3.74
433,Vikulovo,80,RU,1551416430,96,55.07,40.96,29.24,4.63
434,Batagay-Alyta,0,RU,1551416432,80,67.8,130.41,-6.67,1.95
435,Bara,88,NG,1551416433,79,10.41,10.6,71.59,6.76
436,Uthal,8,PK,1551416437,54,25.81,66.62,73.57,2.84
437,Brigantine,75,US,1551416435,79,39.41,-74.36,35.6,6.93
438,Richards Bay,48,ZA,1551416236,94,-28.77,32.06,73.88,3.62
439,Kahului,40,US,1551416196,64,20.89,-156.47,68.0,13.87
440,Belmonte,0,PT,1551415607,95,40.36,-7.35,32.0,4.41
441,Gamba,0,CN,1551416242,88,28.28,88.52,8.95,4.97
442,Malpe,0,IN,1551414600,48,13.35,74.72,82.4,11.41
443,Salisbury,92,GB,1551416403,93,51.07,-1.8,48.2,10.29
444,San Francisco,75,US,1551415890,66,37.78,-122.42,52.0,5.82
445,Codrington,40,AU,1551416124,45,-28.95,153.24,86.0,13.87
446,Harlingen,90,US,1551416118,88,26.19,-97.7,73.4,6.93
447,Daru,0,SL,1551416454,49,7.99,-10.85,62.41,3.74
448,Tessalit,0,ML,1551416154,75,20.2,1.01,43.51,11.12
449,Flinders,20,AU,1551416154,48,-34.58,150.85,86.0,17.22
450,Karasburg,0,NA,1551416457,34,-28.01,18.75,65.02,5.19
451,Ramsar,90,IR,1551412800,100,36.92,50.64,46.4,6.93
452,Humaita,0,AR,1551412800,93,-24.93,-65.37,64.4,3.36
453,Finschhafen,76,PG,1551416461,96,-6.6,147.85,76.45,1.39
454,Rocha,0,UY,1551416178,89,-34.48,-54.34,54.67,5.3
455,Mnogovershinnyy,48,RU,1551416466,57,53.94,139.92,15.43,5.3
456,Carangola,92,BR,1551416423,95,-20.73,-42.03,68.17,2.73
457,Sechura,48,PE,1551416325,80,-5.56,-80.82,76.04,7.99
458,Cockburn Town,48,TC,1551416152,98,21.46,-71.14,77.48,16.49
459,Vao,68,EE,1551416474,68,59.1,26.19,20.29,11.56
460,Sakaiminato,40,JP,1551412800,37,35.55,133.23,55.4,5.82
461,Bontang,32,ID,1551416124,79,0.12,117.47,86.26,11.23
462,Roebourne,24,AU,1551416478,26,-20.77,117.15,101.2,14.7
463,Mareeba,75,AU,1551416348,58,-16.99,145.42,84.2,16.11
464,Vila Franca do Campo,75,PT,1551416172,93,37.72,-25.43,60.8,14.99
465,Alice Springs,0,AU,1551414600,13,-23.7,133.88,98.6,8.05
466,Anadyr,90,RU,1551414600,92,64.73,177.51,32.0,42.5
467,Manzhouli,0,CN,1551416488,26,49.6,117.43,42.43,10.45
468,Hvide Sande,0,DK,1551416436,86,56.01,8.13,41.0,8.05
469,Mbigou,76,GA,1551416493,96,-1.9,11.91,68.48,2.73
470,Samana,36,EC,1551416503,92,0.12,-76.97,73.79,1.95
471,Lang Son,92,VN,1551416508,76,21.83,106.73,76.04,10.78
472,Tromso,75,NO,1551416028,79,69.65,18.96,24.8,18.34
473,Rock Sound,12,BS,1551416510,99,24.9,-76.2,77.17,0.27
474,Vila do Maio,0,CV,1551412800,52,15.13,-23.22,68.0,17.22
475,San Ramon de la Nueva Oran,12,AR,1551416466,82,-23.13,-64.33,68.17,4.07
476,Souillac,90,FR,1551415868,93,45.6,-0.6,52.0,2.24
477,Sept-Iles,5,CA,1551415509,42,50.2,-66.38,6.01,11.41
478,Rabat,20,MA,1551416427,93,34.02,-6.83,50.0,2.24
479,Umm Lajj,92,SA,1551416518,93,25.02,37.27,64.75,19.39
480,Sobolevo,92,RU,1551416519,88,54.43,31.9,27.44,21.85
481,Yelizovo,64,RU,1551414600,42,53.19,158.38,26.6,15.66
482,Megion,0,RU,1551414600,85,61.04,76.11,10.4,11.18
483,Jiangkou,92,CN,1551416535,99,30.7,117.56,49.99,7.2
484,Tommot,76,RU,1551416536,59,58.97,126.27,20.78,3.62
485,Barkhan,92,PK,1551416434,81,29.9,69.52,47.69,3.96
486,Santa Elena,24,EC,1551416539,97,-2.23,-80.86,79.15,8.88
487,Vardo,90,US,1551416205,55,39.62,-77.74,37.4,3.36
488,Buraydah,40,SA,1551412800,62,26.33,43.97,51.8,13.87
489,Burnie,0,AU,1551416224,64,-41.05,145.91,82.99,8.01
490,Sajanan,0,TN,1551412800,93,37.06,9.24,51.8,10.29
491,Vallenar,0,CL,1551416545,71,-28.58,-70.76,57.46,3.4
492,Plaster Rock,1,CA,1551416507,65,46.91,-67.4,8.6,8.05
493,Dhidhdhoo,0,MV,1551416547,100,6.88,73.1,82.12,9.89
494,Vanimo,80,PG,1551416188,100,-2.67,141.3,79.78,10.78
495,Pangai,40,TO,1551412800,84,-19.8,-174.35,86.0,8.05
496,Lalibela,0,ET,1551416554,36,12.04,39.05,66.55,2.62
497,Trincomalee,0,LK,1551416364,78,8.58,81.23,87.11,7.99
498,Jardim,0,BR,1551416556,87,-21.48,-56.15,64.61,2.62
499,The Pas,40,CA,1551415680,83,53.82,-101.24,-5.81,2.24
500,Toora-Khem,80,RU,1551416535,51,52.47,96.11,31.31,4.85
501,Tochio,75,JP,1551416403,93,37.47,139.0,51.01,17.22
502,Mahon,20,IE,1551412800,100,51.89,-8.4,41.0,8.05
503,Broken Hill,12,AU,1551412800,14,-31.97,141.45,95.0,12.75
504,Karakol,8,KG,1551416564,75,42.49,78.39,28.48,1.95
505,Opuwo,12,NA,1551416565,80,-18.06,13.84,63.04,2.95
506,Pisco,75,PE,1551412800,78,-13.71,-76.2,73.4,4.7
507,Sao Miguel,0,BR,1551416567,92,4.52,-61.01,61.87,2.62
508,Saravan,75,AM,1551414600,86,39.72,45.65,33.8,2.24
509,Pacific Grove,90,US,1551416171,66,36.62,-121.92,54.0,4.7
510,Bereda,75,ES,1551416410,100,43.27,-7.54,52.0,4.7
511,Churapcha,8,RU,1551416572,46,62.0,132.43,-2.17,2.84
512,San Antero,75,CO,1551412800,83,9.38,-75.76,80.6,5.82
513,Porto Novo,40,BR,1551412800,100,-23.68,-45.44,68.0,2.73
514,Bondoukou,0,CI,1551416575,56,8.04,-2.8,62.99,3.06
515,Matamoros,90,US,1551416301,88,25.87,-97.51,71.6,6.93
516,Puerto Ayacucho,48,CO,1551416578,79,5.66,-67.63,76.76,2.62
517,Tucurui,92,BR,1551416579,99,-3.77,-49.67,72.71,2.17
518,Psikhikon,0,GR,1551416555,75,41.0,23.63,48.99,1.01
519,Clarence Town,40,AU,1551416537,57,-32.59,151.78,82.99,18.34
520,Padang,20,ID,1551412800,79,-0.92,100.36,84.2,4.7
521,Talaya,40,RU,1551416423,85,55.79,84.89,24.01,4.47
522,Tura,24,IN,1551416585,79,25.52,90.21,64.79,5.97
523,Cabedelo,40,BR,1551412800,94,-6.97,-34.84,77.0,4.7
524,Mamit,20,IN,1551414600,53,23.92,92.49,71.6,2.51
525,Sur,0,OM,1551416589,92,22.57,59.53,73.39,19.84
526,Lokosovo,76,RU,1551416590,79,61.13,74.84,16.64,11.23
527,Vestmannaeyjar,92,IS,1551416192,93,63.44,-20.27,44.18,20.51
528,Eunice,90,US,1551416574,100,30.49,-92.42,66.2,3.36
529,Parintins,88,BR,1551416594,91,-2.63,-56.73,76.27,2.39
530,Mamallapuram,40,IN,1551414831,70,12.63,80.17,87.8,5.82
531,Zaykovo,48,RU,1551416596,87,57.56,62.76,20.51,10.0
532,Gerash,75,IR,1551412800,93,27.67,54.14,51.8,2.73
533,Inuvik,5,CA,1551412800,50,68.36,-133.71,6.8,8.05
534,Fontem,100,CM,1551416600,96,5.49,9.85,61.87,0.72
535,Zhob,92,PK,1551416269,99,31.34,69.45,35.68,3.74
536,Micheweni,76,TZ,1551416603,100,-4.97,39.83,82.75,4.74
537,Creel,0,MX,1551416178,82,27.75,-107.63,39.14,2.17
538,Morehead,90,US,1551416595,96,38.18,-83.43,33.8,4.7
539,Turukhansk,80,RU,1551415967,86,65.8,87.96,11.56,12.46
540,Eureka,90,US,1551416399,100,40.8,-124.16,45.0,5.82
541,Nhulunbuy,75,AU,1551414600,74,-12.18,136.78,86.0,16.11
542,San Patricio,0,PY,1551416152,77,-26.98,-56.83,56.65,2.51
543,Kasamwa,48,TZ,1551416611,77,-2.84,32.42,70.42,6.64
544,Aktau,75,KZ,1551414600,100,43.65,51.16,33.8,2.24
545,Grafton,92,AU,1551416592,48,-29.69,152.93,82.4,10.29
546,Augusto Correa,76,BR,1551416447,97,-1.02,-46.63,71.95,3.18
547,Sambava,68,MG,1551416282,100,-14.27,50.17,78.07,7.43
548,Kaoma,0,ZM,1551416617,83,-14.8,24.8,68.62,4.63
549,Mandalgovi,0,MN,1551416618,62,45.76,106.27,36.67,13.13
550,Morlaix,75,FR,1551416595,87,48.58,-3.83,50.0,5.82
551,Beringovskiy,24,RU,1551416620,89,63.05,179.32,29.74,24.54
552,LUGOBA,56,TZ,1551416621,77,-6.46,38.33,82.48,3.4
553,Kentau,12,KZ,1551416623,90,43.52,68.5,41.48,2.95
554,Mackay,75,CA,1551412800,46,53.65,-115.58,15.8,5.82
555,Groton,1,US,1551416597,44,42.61,-71.57,19.4,3.36
556,San Antonio,90,CL,1551412800,82,-33.58,-71.61,57.2,4.7
